,Model,n_components,covariance_type,init_params,R2,Silhouette,Calinski-Harabasz
0,gmm,6,full,kmeans,0.10299233112804658,-0.22441148483508847,708.287246932535
1,gmm,6,tied,kmeans,0.343412001246401,-0.11984293464577522,3226.43721376303
2,gmm,6,diag,kmeans,0.0990539902639431,-0.20196533799039737,678.2251639243256
3,gmm,6,spherical,kmeans,0.871578170516878,0.4231410183371176,41866.647126306176
4,gmm,7,full,kmeans,0.09680664796370642,-0.2148621560684785,550.9723612729058
5,gmm,7,tied,kmeans,0.3940750476496909,-0.12934505322373396,3343.2239002299398
6,gmm,7,diag,kmeans,0.10375735537448665,-0.2305352074758855,595.1119247683337
7,gmm,7,spherical,kmeans,0.9023160356068167,0.4223025493213294,47483.28561243901
8,gmm,8,full,kmeans,0.11184817458284363,-0.22662593349028295,554.8635302084137
9,gmm,8,tied,kmeans,0.39303824029067164,-0.1312238967012791,2853.1064091253766
10,gmm,8,diag,kmeans,0.10175507463850675,-0.23831711138859338,499.1209481944214
11,gmm,8,spherical,kmeans,0.941304324915008,0.4315347682195279,70659.15588448488
12,gmm,9,full,kmeans,0.11770195492125764,-0.2415823711772871,514.2885122513425
13,gmm,9,tied,kmeans,0.34943513507012275,-0.17454100177024964,2070.686871834695
14,gmm,9,diag,kmeans,0.09799441266781288,-0.2401410738168264,418.8230266437079
15,gmm,9,spherical,kmeans,0.9552596788211626,0.4312162667723156,82311.55638322412
