,Model,min_cluster_size,cluster_selection_method,R2,Silhouette,Calinski-Harabasz
0,hdbscan,5,leaf,0.11341770774287438,-0.31058958517167357,7.113204061655882
1,hdbscan,15,leaf,0.06466704082381089,-0.3602153457615532,16.858146573559296
2,hdbscan,25,leaf,0.051405813840305584,-0.35054900200552597,30.341370697334817
3,hdbscan,35,leaf,0.037711435032444215,-0.3518649961805235,37.74054035424853
4,hdbscan,45,leaf,0.030921601904205894,-0.34323870355273384,57.87031519624738
5,hdbscan,55,leaf,0.03383267693338148,-0.3211685598014131,83.06129566798809
6,hdbscan,65,leaf,0.027611125769312423,-0.3117104297581881,79.6045060720601
7,hdbscan,5,eom,0.12069644267666864,-0.3145509789862236,9.108254406731005
8,hdbscan,15,eom,0.07740414672569511,-0.34443841982769774,23.660836496009896
9,hdbscan,25,eom,0.128402207635373,0.010711560909833967,1514.7256113685341
10,hdbscan,35,eom,0.1222472007195832,0.008908736638091663,2148.0759751997557
11,hdbscan,45,eom,0.11398854369720873,-0.0002456867737054922,1984.2884549713613
12,hdbscan,55,eom,0.11086961704174329,-0.0030809943101531875,1923.224727462386
13,hdbscan,65,eom,0.11245096540244738,-0.0029603274636317025,1954.131430801652
